,Date_Time,Score,URL,IP,Length,digits,digit_ratio,Hyperlinks,Sus_Words
16005,2023-01-26 13:45:49,2.2,https://tinyurl.com/5n8tbrdd,172.67.1.225,28,2,0.07142857142857142,1.0,1.0
16028,2023-01-26 13:43:34,2.3,https://attupdatein.boxmode.io/,209.192.137.208,31,0,0.0,6.0,0.0
16032,2023-01-26 13:43:28,5.1,http://revisioneportalebper.com/,81.88.53.74,32,0,0.0,7.0,0.0
16083,2023-01-26 09:25:44,5.0,http://www.yyfoot-spa.com/rev/MyGov/personal.html,23.111.140.130,49,0,0.0,1.0,0.0
16084,2023-01-26 09:25:43,5.5,http://www.yyfoot-spa.com/rev/MyGov/otp.html,23.111.140.130,44,0,0.0,1.0,0.0
16085,2023-01-26 09:25:42,5.5,http://www.yyfoot-spa.com/rev/MyGov/otp2.html,23.111.140.130,45,1,0.022222222222222223,1.0,0.0
16086,2023-01-26 09:25:40,5.0,http://www.yyfoot-spa.com/rev/MyGov/index2.html,23.111.140.130,47,1,0.02127659574468085,1.0,0.0
16087,2023-01-26 09:25:39,2.7,http://www.yyfoot-spa.com/rev/MyGov/,23.111.140.130,36,0,0.0,1.0,0.0
16102,2023-01-26 09:25:07,3.1,http://www.secured.tr-ziraatbankasi.com/,107.175.91.10,40,0,0.0,1.0,1.0
16107,2023-01-26 09:24:43,2.8,http://www.qu-o.mx/,198.49.23.145,19,0,0.0,25.0,0.0
16109,2023-01-26 09:24:39,5.4,http://www.parscom.com.au/secure/MyGov/personal.html,116.0.23.213,52,0,0.0,0.0,0.0
16110,2023-01-26 09:24:37,5.9,http://www.parscom.com.au/secure/MyGov/otp.html,116.0.23.213,47,0,0.0,0.0,0.0
16111,2023-01-26 09:24:35,5.9,http://www.parscom.com.au/secure/MyGov/otp2.html,116.0.23.213,48,1,0.020833333333333332,0.0,0.0
16112,2023-01-26 09:24:34,5.4,http://www.parscom.com.au/secure/MyGov/index2.html,116.0.23.213,50,1,0.02,0.0,0.0
16113,2023-01-26 09:24:32,3.5,http://www.parscom.com.au/secure/MyGov/,116.0.23.213,39,0,0.0,0.0,0.0
16118,2023-01-26 09:24:24,2.2,http://www.nathanandcandy.com/broad/,192.3.201.55,36,0,0.0,0.0,0.0
16120,2023-01-26 09:24:18,2.5,http://www.mashangyoushu.cn/das.php,39.96.24.137,35,0,0.0,0.0,0.0
16123,2023-01-26 09:24:10,6.3,http://www.kahuyq-hp.am/wp-admin/amex/amginers/asbthy/dax/email_sec.php,91.199.38.161,71,0,0.0,0.0,0.0
16124,2023-01-26 09:24:09,5.8,http://www.kahuyq-hp.am/wp-admin/amex/amginers/asbthy/dax/active_apa.php,91.199.38.161,72,0,0.0,0.0,0.0
16125,2023-01-26 09:24:07,2.0,http://www.kahuyq-hp.am/wp-admin/amex/amginers/asbthy/dax/,91.199.38.161,58,0,0.0,0.0,0.0
16126,2023-01-26 09:24:05,5.1,http://www.highlightsnft.online/,34.149.87.45,32,0,0.0,13.0,0.0
16128,2023-01-26 09:24:02,6.7,http://www.hamegam.com/Akus/96d4e683799b85699c170e16e958c1a9/,85.9.66.227,61,24,0.39344262295081966,9.0,2.0
16129,2023-01-26 09:23:59,6.7,http://www.hamegam.com/Akus/756f29f999e4da6fe20ef3aec2995b30/,85.9.66.227,61,19,0.3114754098360656,9.0,2.0
16133,2023-01-26 09:23:50,4.9,http://www.e-serviceparts.info/landingpages/dd263864-38a2-466a-be2f-4e5ec6c5e042/ijkxg0asogeltwdcad3pysf9dacu7vh61kbfydcqrg,13.225.63.52,123,26,0.21138211382113822,4.0,0.0
16137,2023-01-26 09:23:41,6.5,http://www.dogsrewards.com/wp-includes/amex/amginers/asbthy/dax/email_sec.php,162.241.152.221,77,0,0.0,1.0,0.0
16138,2023-01-26 09:23:40,6.0,http://www.dogsrewards.com/wp-includes/amex/amginers/asbthy/dax/active_apa.php,162.241.152.221,78,0,0.0,1.0,0.0
16139,2023-01-26 09:23:39,2.1,http://www.dogsrewards.com/wp-includes/amex/amginers/asbthy/dax/,162.241.152.221,64,0,0.0,1.0,0.0
16140,2023-01-26 09:23:38,3.2,http://www.dhl-vietnam.com/,103.28.36.108,27,0,0.0,0.0,0.0
16147,2023-01-26 09:23:22,5.7,http://www.cancuntoursunlimited.com/multiphp/img/outlook.com/,107.180.24.253,61,0,0.0,1.0,0.0
16149,2023-01-26 09:23:18,5.4,http://www.belforprevention.fr/wp-content/plugins/ghohmwp/@247@/GlobalSources/,2001:41d0:301::28,78,3,0.038461538461538464,0.0,0.0
16162,2023-01-26 09:22:59,3.0,http://www.airportcabchicago.com/write/shaw/manage/,64.29.151.221,51,0,0.0,19.0,2.0
16169,2023-01-26 09:22:39,5.8,http://wizhotdadoscodcxxenv-1990186.ryd.wafaicloud.com/ades/login/aces.php?ac=01,185.206.135.134,80,9,0.1125,0.0,0.0
16170,2023-01-26 09:22:37,5.0,http://wessexwater.co.uk.therobinhuntteam.com/,69.49.244.31,46,0,0.0,0.0,0.0
16171,2023-01-26 09:22:36,4.1,http://webmail.nebcc.com/roundcubemail/,216.239.133.253,39,0,0.0,1.0,1.0
16172,2023-01-26 09:22:35,4.6,http://wakibanga.com/,105.174.43.226,21,0,0.0,1.0,0.0
16180,2023-01-26 09:22:14,6.3,https://xemaybaotin.vn/wp-content/litespeed/ccss/au/b76b5c1/,103.116.104.238,60,4,0.06666666666666667,15.0,0.0
16181,2023-01-26 09:22:12,6.7,https://xemaybaotin.vn/wp-content/litespeed/ccss/au/adff3e0/Login.php,103.116.104.238,69,2,0.028985507246376812,15.0,0.0
16182,2023-01-26 09:22:09,4.3,https://www--wellsfargo--com--xp49329d48d6c.wsipv6.com/es/,157.185.163.113,58,9,0.15517241379310345,20.0,0.0
16184,2023-01-26 09:22:02,4.2,https://www.ndnmag.fr/en/f9ab3aca2005100a24161a951f0f5670/execution.html?validation=e1s1,46.182.4.120,88,24,0.2727272727272727,0.0,0.0
16185,2023-01-26 09:22:01,4.2,https://www.ndnmag.fr/en/e6ae79a34a9ab062603a6b4ff22e732b/execution.html?validation=e1s1,46.182.4.120,88,21,0.23863636363636365,0.0,0.0
16187,2023-01-26 09:21:58,4.2,https://www.ndnmag.fr/en/b3d45636edf3aa8ecde92a69f377f784/execution.html?validation=e1s1,46.182.4.120,88,20,0.22727272727272727,0.0,0.0
16191,2023-01-26 09:21:51,4.2,https://www.ndnmag.fr/en/8d4d45c6d017f094b4ed8d59ba095837/execution.html?validation=e1s1,46.182.4.120,88,23,0.26136363636363635,0.0,0.0
16193,2023-01-26 09:21:49,4.2,https://www.ndnmag.fr/en/80b3d7d83cd16cfd446ed5daa7b990e3/execution.html?validation=e1s1,46.182.4.120,88,19,0.2159090909090909,0.0,0.0
16195,2023-01-26 09:21:45,4.2,https://www.ndnmag.fr/en/750281f5e2812f89740f5b3acc273584/execution.html?validation=e1s1,46.182.4.120,88,26,0.29545454545454547,0.0,0.0
16197,2023-01-26 09:21:42,4.2,https://www.ndnmag.fr/en/6bd3cec8195a946f2b44ef34c6a35e9b/execution.html?validation=e1s1,46.182.4.120,88,20,0.22727272727272727,0.0,0.0
16198,2023-01-26 09:21:40,4.2,https://www.ndnmag.fr/en/6b6f856785fedc0c15bf40416d8be119/execution.html?validation=e1s1,46.182.4.120,88,22,0.25,0.0,0.0
16230,2023-01-26 09:20:37,5.7,https://westernunionva.com/,152.32.253.6,27,0,0.0,3.0,0.0
16256,2023-01-26 09:19:21,1.9,https://s42lkd.webwave.dev/lib/s42lkd/PO-ldcuuw59.html,185.73.228.142,54,6,0.1111111111111111,1.0,0.0
